Burger Food Restaurants I B.V. ; Burger King Hoofddorp ; Marktlaan 176 ; 2132 DM, Hoofddorp ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-235578916 ; 2016 ; 6.25357 ; 30 ; 2006 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant SCHIPHOL ; Aankomstpassage 15 ; 1118 AX, Luchthaven Schiphol ; NOORD-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 6.25357 ; 59 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant REGULIERSBREESTRAAT ; Reguliersbreestraat 15 ; 1017 CL, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-204233575 ; 2016 ; 6.25357 ; 50 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Zoetermeer ; Burg Van Leeuwenpassage 34 ; 2711 JV, Zoetermeer ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-793237777 ; 2016 ; 6.25357 ; 50 ; 2005 ; 
Kiem Foei B.V. ; Chinees- Surinaams restaurant Kiem Foei ; West-Kruiskade 29 a31a ; 3014 AK, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-104139983 ; 2019 ; 3.43 ; 27 ; 2017 ; 
McKasper B.V. ; None ; Hoogstraat 194 ; 3011 PV, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-104147032 ; 2019 ; 3.311 ; 42 ; 2007 ; 
Horeca Exploitatie Maatschappij De Kok Binnenwegplein B.V. ; Horeca Expl.Maatsch. De Kok Binnenwegplein BV ; Binnenwegplein 68 ; 3012 KA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; None ; 2018 ; 2.720725 ; 35 ; 2017 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant ROTTERDAM II ; Lijnbaan 100 ; 3012 ER, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-104115033 ; 2016 ; 2.519827 ; 40 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant EKKERSRIJT ; Ekkersrijt 4019 ; 5692 DB, SON EN BREUGEL ; None ; Private Limited Company ; Branch ; +31-499464320 ; 2016 ; 2.519827 ; 34 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant A13 West ; Rijksweg A13 202 ; 2629 HA, Delft ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-152569421 ; 2016 ; 2.519827 ; 20 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Foodstrip ; Tafelbergweg 4 ; 1105 BN, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-206973350 ; 2016 ; 2.519827 ; 34 ; 2006 ; 
Burger Food Restaurants I B.V. ; Burger King Wormerland ; Leeghwaterweg 3 ; 1456 NB, Wijdewormer ; NOORD-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 2.519827 ; 34 ; 2007 ; 
Akkerhuisman v.o.f. ; Lebkov ; None ; 3013 AK, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Branch ; None ; 2016 ; 2.519827 ; 28 ; 2007 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant Maastricht ; Markt 71 ; 6211 CL, Maastricht ; LIMBURG ; Private Limited Company ; Branch ; +31-102863700 ; 2016 ; 2.519827 ; 30 ; 2010 ; 
SSP Nederland B.V. ; Starbucks (Station Rotterdam CS - 2 Hal) ; Stationsplein 4 ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-204058264 ; 2016 ; 2.519827 ; 29 ; 2014 ; 
SSP Nederland B.V. ; Starbucks (Station Rotterdam CS 1 Tunnel) ; Stationsplein 10 A ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-204058264 ; 2016 ; 2.519827 ; 22 ; 2014 ; 
HMSHost Nederland B.V. ; De Broodzaak (station Rotterdam) ; Stationsplein 15 A ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-206034603 ; 2016 ; 2.519827 ; 25 ; 2014 ; 
Lagardère Travel Retail Stations B.V. ; Smullers (Rotterdam) ; Stationsplein 8 A ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-204109700 ; 2016 ; 2.519827 ; 44 ; 2019 ; 
Horeca Exploitatie Maatschappij De Kok Barendrecht B.V. ; Horeca Expl.Mij. De Kok Barendrecht B.V. ; Van 't Hoffstraat 49 ; 2991 XP, Barendrecht ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104666488 ; 2018 ; 2.48752 ; 32 ; 2004 ; 
Parkboulevard Exploitatie B.V. ; None ; Piet van de Polsingel 130 ; 3056 AK, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104660585 ; 2019 ; 2.409785 ; 31 ; 2016 ; 
Warung Mini B.V. ; Mini 53 ; Witte de Withstraat 53 A ; 3012 BM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-651279177 ; 2019 ; 2.098845 ; 27 ; 2014 ; 
Horeca Exploitatie Maatschappij J.G.B. de Kok Kruiskade B.V. ; J.G.B. de Kok h o Kentucky Fried Chicken ; West-Kruiskade 46 ; 3014 AT, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104367098 ; 2018 ; 2.02111 ; 26 ; 1992 ; 
H.E.M. de Kok Stadion-Boulevard B.V. ; H.E.M. de Kok Stadion-Boulevard h/o Kentucky Fried Chicken ; Cor Kieboomplein 506 ; 3077 MK, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104666488 ; 2018 ; 1.86564 ; 24 ; 2007 ; 
R. Gideonse Horeca B.V. ; R. Gideonse Horeca B.V. ; Poolsterstraat 139 ; 3067 LX, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-655871003 ; 2019 ; 1.86564 ; 24 ; 2018 ; 
McSanne B.V. ; None ; Oude Binnenweg 99 ; 3012 JA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-104147032 ; 2019 ; 1.727 ; 23 ; 2007 ; 
Zwart Janstraat Exploitatie B.V. ; McDonald´s Zwart Janstraat ; Piet van de Polsingel 130 ; 3056 AK, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104660585 ; 2019 ; 1.632435 ; 21 ; 2000 ; 
Newfork B.V. ; New Fork HNK ; Vasteland 78 ; 3011 BN, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-103103099 ; 2019 ; 1.5547 ; 20 ; 2016 ; 
Croissanterie "De Snor" B.V. ; None ; Bergpolderplein 10 ; 3051 GA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104612223 ; 2019 ; 18 ; 16 ; 1.39923 ; 
YoYo! Concepts B.V. ; YoYo! Fresh Tea Bar ; Rodezand 23 A ; 3011 AM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Parent ; +31-653411822 ; 2019 ; 1.39923 ; 18 ; 2015 ; 
Horeca Exploitatie Maatschappij De Kok Groene Hilledijk B.V. ; Horeca Expl. Mij De Kok Groene Hilledijk B.V. ; Groene Hilledijk 154 ; 3074 AA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-104666488 ; 2018 ; 1.389 ; 15 ; 2003 ; 
ShabuToGo Rotterdam B.V. ; Shabu ToGo Sushi & Grill Rotterdam ; Coolsingel 125 ; 3012 AG, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; None ; 2018 ; 1.335 ; 18 ; 2016 ; 
DP Due B.V. ; Dominos Pizza Rotterdam IJsselmonde ; Kerstendijk 1 ; 3079 ET, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-102920008 ; 2019 ; 1.08829 ; 14 ; 2017 ; 
Bagels & Beans Forum Rotterdam ; Bagels & Beans Forum Rotterdam ; None ; 3012 AH, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 1.053188 ; 12 ; 2019 ; 
Sushi Sensei V.O.F. ; Sushi Sensei ; None ; 3059 XW, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 1.053188 ; 14 ; 2018 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant A4 ; Rijksweg A4 1 ; 2132 MA, Hoofddorp ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-252624343 ; 2016 ; 1.053188 ; 10 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant OOSTERHOF ; Watermanweg 333 ; 3067 GA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-102203294 ; 2016 ; 1.053188 ; 12 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant NIEUWENDIJK ; Nieuwendijk 216 -218 ; 1012 MX, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-206208038 ; 2016 ; 1.053188 ; 10 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant LEIDSEPLEIN ; Leidseplein 7 ; 1017 PR, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-206239832 ; 2016 ; 1.053188 ; 19 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant Schiedam ; 's-Gravelandseweg 414 ; 3125 BK, Schiedam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-102622917 ; 2016 ; 1.053188 ; 10 ; 2004 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant Westcorner ; Isolatorweg 25 ; 1014 AS, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-204885553 ; 2016 ; 1.053188 ; 10 ; 2004 ; 
NS Stations Retailbedrijf B.V. ; NS Stations Retailbedr.BV thodn Stationshuisk ; Stationsplein 18 B ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-886711200 ; 2016 ; 1.053188 ; 10 ; 2014 ; 
Hotel-Restaurant Kinderdijk B.V. ; Délifrance Rotterdam Alexandrium ; Poolsterstraat 119 ; 3067 LX, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-104207836 ; 2016 ; 1.053188 ; 15 ; 2014 ; 
DJH van Kleef en MJH van Kleef ; Bagels & Beans - Kruisplein ; None ; 3012 CL, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Branch ; None ; 2016 ; 1.053188 ; 10 ; 2014 ; 
NS Stations Retailbedrijf B.V. ; Julia's (station Rdam Cs) ; Stationsplein 9 B ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-886711200 ; 2016 ; 1.053188 ; 13 ; 2014 ; 
IJssalon Doppio ; None ; None ; 3061 WL, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Branch ; None ; 2016 ; 1.053188 ; 13 ; 2015 ; 
AllesKAN B.V. ; De ijswinckel Hoogvliet ; Binnenban 2 B ; 3191 CH, Hoogvliet Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 1.053188 ; 10 ; 2015 ; 
Tosti World Nederland B.V. ; Tosti World Erasmus ; Burgemeester Oudlaan 50 Gebouw L Era ; 3062 PA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-637139657 ; 2016 ; 1.053188 ; 10 ; 2018 ; 
Horeca Exploitatie Maatschappij J.G.B. de Kok Bergweg B.V. ; Horeca Mij. J.G.B. de Kok Bergweg B.V. h o K. ; Bergweg 234 ; 3035 BR, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104666488 ; 2018 ; 1.010555 ; 13 ; 1985 ; 
Bram Ladage Utrecht HC B.V. ; B.H. Herben h/o Bram Ladage Verse Patat ; Sonia Delaunaystraat 26 ; 3059 VN, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-642203875 ; 2018 ; 0.93282 ; 12 ; 2017 ; 
De IJssaloon B.V. ; None ; Meent 69 A ; 3011 JD, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-104133544 ; 2018 ; 0.925 ; 8 ; 2008 ; 
WOW Lijnbaan B.V. ; None ; Korte Lijnbaan 21 ; 3012 EC, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-681921966 ; 2019 ; 0.843 ; 14 ; 2018 ; 
R & A Winkelexploitatie B.V. ; None ; Apollostraat 20 ; 3054 TA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-102023023 ; 2004 ; 2019 ; 0.77735 ; DEC ; 
Triamac B.V. ; McDonald's Satellite ; Coolsingel 207 ; 3012 AG, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-102131665 ; 2019 ; 0.77735 ; 10 ; 2020 ; 
Riva's Churros & Sweets B.V. ; Riva's Churros & Sweets B.V. ; Lijnbaan 79 D ; 3012 EM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-653347677 ; enue ; 0.77735 ; 10 ; 2020 ; 
Eazie Coolsingel B.V. ; Eazie Korte Lijnbaan ; Korte Lijnbaan 18 B ; 3012 ED, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-649773121 ; 2018 ; 0.704 ; 11 ; 2016 ; 
VL Markthal Rotterdam B.V. ; None ; Nieuwstraat 87 Unit Z.O.10. ; 3011 GX, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; None ; 2018 ; 0.699615 ; 9 ; 2016 ; 
Bram Ladage Nieuwegein B.V. ; B.H. Herben h/o Bram Ladage Verse Patat ; Binnenstede 2 ; 3431 LA, Nieuwegein ; UTRECHT ; Private Limited Company ; Subsidiary ; +31-642203875 ; 2018 ; 0.62188 ; 8 ; 2013 ; 
Tadim West B.V. ; Tadim West B.V. ; Witte Zwaanhof 7 ; 3035 ZH, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-628200608 ; 2015 ; 0.62188 ; 8 ; 2015 ; 
Rocomala B.V. ; Ron van Dijk Consultant ; Noordmolenstraat 50 C ; 3035 RL, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Parent ; +31-653349500 ; 2019 ; 0.544145 ; 7 ; 2015 ; 
P.P.P. VAN Esch tevens handeld onder de naam Boterham Express ; P.P.P. van Esch t.h.o.d.n. Boterham Express ; None ; 3083 BH, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 8 ; 2020 ; 
Johnnies Fastfood ; None ; None ; 3026 AN, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 4 ; 2019 ; 
Cafetaria van Putten ; Cafetaria van Putten ; None ; 3083 MZ, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 6 ; 2017 ; 
Italiaanse IJssalon "Venezia" ; None ; None ; 3012 JC, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2019 ; 
Snack en Broodjescorner De Binnenhof ; None ; None ; 3069 KV, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 1 ; 2019 ; 
V.O.F. Raymond & Lindsay van der Zalm ; Bram Ladage Verse Patat ; None ; 2801 KC, Gouda ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2017 ; 
Afhaalrestaurant Sun Sien ; Afhaalrestaurant Sun Sien Spijkenisse ; None ; 3193 EM, Hoogvliet Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Parent ; None ; 2016 ; 0.500159 ; 5 ; 2006 ; 
"Sangam" Sweets ; None ; None ; 3022 AA, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 3 ; 2016 ; 
Cafetaria "De Cocosnoot" ; Shoarma "De Cocosnoot" ; None ; 3012 BR, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 7 ; 1988 ; 
N. Stolk t.h.o.d.n. Bram Ladage Verse Patat ; None ; None ; 2511 BE, 's-Gravenhage ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 4 ; 2017 ; 
LiSun V.O.F. ; Cafetaria Eethuis De Gulle Jacob ; None ; 3067 LE, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2008 ; 
V.O.F. Baskent ; Cafetaria Baskent ; None ; 3073 JP, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Parent ; None ; 2016 ; 0.500159 ; 6 ; 2015 ; 
L.M. Ip t.h.o.d.n. Verhage Fast Food ; None ; None ; 3135 BK, Vlaardingen ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 3 ; 2020 ; 
Marhaba Ontbijt Lunch Diner ; La Cuisine ; None ; 3035 AK, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Parent ; None ; 2016 ; 0.500159 ; 6 ; 2018 ; 
Small Asia ; None ; None ; 3014 GD, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2013 ; 
